"Target","HostName","IPAddress"
"wpcs7lj004","WPCS7LJ004","10.100.65.240"
"wpcs7lj005","WPCS7LJ005","10.100.65.241"
"wpcs7lj006es","WPCS7LJ006ES","10.100.65.222"
"wpcs7lj006ss1","WPCS7LJ006SS1","10.100.65.223"
"wpcs7lj006ss2","WPCS7LJ006SS2","10.100.65.224"
"wpcs7lj006ss3","WPCS7LJ006SS3","10.100.65.231"
"wpcs7lj004","WPCS7LJ004","10.100.65.240"
"wpcs7lj005","WPCS7LJ005","10.100.65.241"
"wpcs7lj006es","WPCS7LJ006ES","10.100.65.222"
"wpcs7lj006ss1","WPCS7LJ006SS1","10.100.65.223"
"wpcs7lj006ss2","WPCS7LJ006SS2","10.100.65.224"
"wpcs7lj006ss3","WPCS7LJ006SS3","10.100.65.231"
"wpcs7lj004","WPCS7LJ004","10.100.65.240"
"wpcs7lj005","WPCS7LJ005","10.100.65.241"
"wpcs7lj006es","WPCS7LJ006ES","10.100.65.222"
"wpcs7lj006ss1","WPCS7LJ006SS1","10.100.65.223"
"wpcs7lj006ss2","WPCS7LJ006SS2","10.100.65.224"
"wpcs7lj006ss3","WPCS7LJ006SS3","10.100.65.231"
"wpcs7lj004","WPCS7LJ004","10.100.65.240"
"wpcs7lj005","WPCS7LJ005","10.100.65.241"
"wpcs7lj006es","WPCS7LJ006ES","10.100.65.222"
"wpcs7lj006ss1","WPCS7LJ006SS1","10.100.65.223"
"wpcs7lj006ss2","WPCS7LJ006SS2","10.100.65.224"
"wpcs7lj006ss3","WPCS7LJ006SS3","10.100.65.231"
